COD.FABBRICATO	DESCRIZIONE IMMOBILE	COD.UNITA’ IMMOBILIARE	PIANO	NUM.STANZA	CENTRO DI COSTO 	
44   	ACISJF                                            	3    	TERZO PIANO	28    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	33    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	29    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	30    	118010101	
44   	ACISJF                                            	2    	SECONDO PIANO	18    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	27    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	28    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	30    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	34    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	35    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	32    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	27    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	31    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	33    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	31    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	37    	118010101	
44   	ACISJF                                            	3    	TERZO PIANO	36    	118010101	
44   	ACISJF                                            	2    	SECONDO PIANO	18    	118010101	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6111  	111010105	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6112  	111010105	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6111  	111010105	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6113  	111010105	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6113  	111010105	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6112  	111010105	
6    	ALLOGGI STORICI - F.LLI FONTANA                   	611  	QUARTO PIANO	6113  	111010105	
4    	ALLOGGI STORICI - VIA ANTONIO DA TRENTO           	411  	SESTO PIANO	4112  	111010113	
4    	ALLOGGI STORICI - VIA ANTONIO DA TRENTO           	411  	SESTO PIANO	4113  	111010113	
4    	ALLOGGI STORICI - VIA ANTONIO DA TRENTO           	411  	SESTO PIANO	4112  	111010113	
4    	ALLOGGI STORICI - VIA ANTONIO DA TRENTO           	411  	SESTO PIANO	4111  	111010113	
4    	ALLOGGI STORICI - VIA ANTONIO DA TRENTO           	411  	SESTO PIANO	4113  	111010113	
4    	ALLOGGI STORICI - VIA ANTONIO DA TRENTO           	411  	SESTO PIANO	4111  	111010113	
7    	ALLOGGI STORICI - VIA GORIZIA                     	711  	QUINTO PIANO	7112  	111010107	
7    	ALLOGGI STORICI - VIA GORIZIA                     	711  	QUINTO PIANO	7113  	111010107	
7    	ALLOGGI STORICI - VIA GORIZIA                     	711  	QUINTO PIANO	7111  	111010107	
7    	ALLOGGI STORICI - VIA GORIZIA                     	711  	QUINTO PIANO	7112  	111010107	
7    	ALLOGGI STORICI - VIA GORIZIA                     	711  	QUINTO PIANO	7111  	111010107	
7    	ALLOGGI STORICI - VIA GORIZIA                     	711  	QUINTO PIANO	7113  	111010107	
8    	ALLOGGI STORICI - VIA LORENZONI                   	831  	PRIMO PIANO	8313  	111010112	
8    	ALLOGGI STORICI - VIA LORENZONI                   	831  	PRIMO PIANO	8312  	111010112	
8    	ALLOGGI STORICI - VIA LORENZONI                   	831  	PRIMO PIANO	8311  	111010112	
8    	ALLOGGI STORICI - VIA LORENZONI                   	831  	PRIMO PIANO	8312  	111010112	
8    	ALLOGGI STORICI - VIA LORENZONI                   	831  	PRIMO PIANO	8313  	111010112	
9    	ALLOGGI STORICI - VIA MATTEOTTI                   	921  	SESTO PIANO	9212  	111010116	
9    	ALLOGGI STORICI - VIA MATTEOTTI                   	921  	SESTO PIANO	9212  	111010116	
9    	ALLOGGI STORICI - VIA MATTEOTTI                   	921  	SESTO PIANO	9213  	111010116	
9    	ALLOGGI STORICI - VIA MATTEOTTI                   	921  	SESTO PIANO	9213  	111010116	
9    	ALLOGGI STORICI - VIA MATTEOTTI                   	921  	SESTO PIANO	9211  	111010116	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5211  	111010106	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5213  	111010106	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5214  	111010106	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5213  	111010106	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5214  	111010106	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5212  	111010106	
5    	ALLOGGI STORICI - VIA MOGGIOLI                    	521  	PRIMO PIANO	5214  	111010106	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1011 	TERZO PIANO	10111 	111010114	            
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1011 	TERZO PIANO	10112 	111010114	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1011 	TERZO PIANO	10112 	111010114	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1011 	TERZO PIANO	10113 	111010114	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1011 	TERZO PIANO	10113 	111010114	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1021 	TERZO PIANO	10213 	111010115	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1021 	TERZO PIANO	10211 	111010115	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1021 	TERZO PIANO	10212 	111010115	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1021 	TERZO PIANO	10212 	111010115	
10   	ALLOGGI STORICI - VIA S. MARTINO                  	1021 	TERZO PIANO	10213 	111010115	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11111 	111010109	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11113 	111010109	            
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11112 	111010109	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11111 	111010109	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11113 	111010109	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11112 	111010109	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1111 	PRIMO PIANO	11113 	111010109	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11121 	111010108	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11123 	111010108	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11122 	111010108	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11122 	111010108	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11123 	111010108	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11121 	111010108	
11   	ALLOGGI STORICI - VIA S. PIO X                    	1112 	TERZO PIANO	11123 	111010108	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1211 	PRIMO PIANO	12113 	111010111	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1211 	PRIMO PIANO	12112 	111010111	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1211 	PRIMO PIANO	12112 	111010111	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1211 	PRIMO PIANO	12111 	111010111	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1211 	PRIMO PIANO	12113 	111010111	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1211 	PRIMO PIANO	12113 	111010111	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1212 	SECONDO PIANO	12123 	111010110	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1212 	SECONDO PIANO	12122 	111010110	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1212 	SECONDO PIANO	12123 	111010110	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1212 	SECONDO PIANO	12123 	111010110	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1212 	SECONDO PIANO	12121 	111010110	
12   	ALLOGGI STORICI - VIA S. PIO X                    	1212 	SECONDO PIANO	12122 	111010110	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	221  	PRIMO PIANO	2212  	111010103	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	221  	PRIMO PIANO	2213  	111010103	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	221  	PRIMO PIANO	2211  	111010103	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	221  	PRIMO PIANO	2213  	111010103	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	221  	PRIMO PIANO	2212  	111010103	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	222  	TERZO PIANO	2223  	111010104	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	222  	TERZO PIANO	2221  	111010104	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	222  	TERZO PIANO	2222  	111010104	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	222  	TERZO PIANO	2223  	111010104	
2    	ALLOGGI STORICI - VIA SCOPOLI                     	222  	TERZO PIANO	2222  	111010104	
15   	ALLOGGI STORICI - VIA TARAMELLI                   	1521 	PIANO RIALZATO	15213 	111010117	
15   	ALLOGGI STORICI - VIA TARAMELLI                   	1521 	PIANO RIALZATO	15214 	111010117	
15   	ALLOGGI STORICI - VIA TARAMELLI                   	1521 	PIANO RIALZATO	15212 	111010117	
15   	ALLOGGI STORICI - VIA TARAMELLI                   	1521 	PIANO RIALZATO	15213 	111010117	
15   	ALLOGGI STORICI - VIA TARAMELLI                   	1521 	PIANO RIALZATO	15211 	111010117	
15   	ALLOGGI STORICI - VIA TARAMELLI                   	1521 	PIANO RIALZATO	15214 	111010117	
16   	ALLOGGI STORICI - VIA TARAMELLI                   	1611 	PIANO RIALZATO	16114 	111010118	
16   	ALLOGGI STORICI - VIA TARAMELLI                   	1611 	PIANO RIALZATO	16113 	111010118	
16   	ALLOGGI STORICI - VIA TARAMELLI                   	1611 	PIANO RIALZATO	16114 	111010118	
16   	ALLOGGI STORICI - VIA TARAMELLI                   	1611 	PIANO RIALZATO	16111 	111010118	
16   	ALLOGGI STORICI - VIA TARAMELLI                   	1611 	PIANO RIALZATO	16113 	111010118	
16   	ALLOGGI STORICI - VIA TARAMELLI                   	1611 	PIANO RIALZATO	16112 	111010118	
17   	ALLOGGI STORICI - VIALE VERONA                    	1711 	SECONDO PIANO	17112 	111010101	
17   	ALLOGGI STORICI - VIALE VERONA                    	1711 	SECONDO PIANO	17113 	111010101	
17   	ALLOGGI STORICI - VIALE VERONA                    	1711 	SECONDO PIANO	17113 	111010101	
17   	ALLOGGI STORICI - VIALE VERONA                    	1711 	SECONDO PIANO	17111 	111010101	
17   	ALLOGGI STORICI - VIALE VERONA                    	1711 	SECONDO PIANO	17112 	111010101	
17   	ALLOGGI STORICI - VIALE VERONA                    	1721 	TERZO PIANO	17213 	111010102	
17   	ALLOGGI STORICI - VIALE VERONA                    	1721 	TERZO PIANO	17211 	111010102	
17   	ALLOGGI STORICI - VIALE VERONA                    	1721 	TERZO PIANO	17213 	111010102	
17   	ALLOGGI STORICI - VIALE VERONA                    	1721 	TERZO PIANO	17214 	111010102	
17   	ALLOGGI STORICI - VIALE VERONA                    	1721 	TERZO PIANO	17214 	111010102	
17   	ALLOGGI STORICI - VIALE VERONA                    	1721 	TERZO PIANO	17212 	111010102	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CC   		CC0A01	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CD   		CD0A01	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CD   		CD1A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CA   		CA0A01	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CC   		CC0A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CB   		CB0A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CC   		CC1A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CD   		CD0A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CD   		CD2A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CA   		CA1A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CB   		CB0A01	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CC   		CC2A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CA   		CA0A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CA   		CA1A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CA   		CA2A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CB   		CB1A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CB   		CB2A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CC   		CC1A03	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CD   		CD1A02	112010301	
73   	BILOCALI S. BARTOLAMEO SINGOLI                    	CB   		CB1A02	112010301	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C26	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C40	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C37	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C52	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C60	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C65	112020101	
59   	CFCS                                              	59EC3	PRIMO PIANO	EC3C64	112020101	
59   	CFCS                                              	59EC3	PRIMO PIANO	EC3C70	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C54	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C64	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C01	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C04	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C11	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C18	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C19	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C20	112020101	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C05	112020101	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C15	112020101	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C21	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C01	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C05	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C06	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C10	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C17	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C11	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C14	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C16	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C21	112020101	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C23	112020101	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C31	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C26	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C49	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C26	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C33	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C36	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C38	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C51	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C52	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C29	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C32	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C33	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C36	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C42	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C44	112020101	
59   	CFCS                                              	59EB0	PIANO TERRA	EB0C23	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C24	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C32	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C33	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C38	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C41	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C24	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C25	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C28	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C29	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C33	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C34	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C35	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C24	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C27	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C30	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C32	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C39	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C56	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C57	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C61	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C62	112020101	
